interaction_id,user_id,shoe_id,event_type,rating,timestamp
1,382,261,view,,2025-01-08T15:42:52.805994
2,853,81,view,,2024-10-23T15:42:52.805994
3,149,265,purchase,,2024-12-24T15:42:52.805994
4,331,338,purchase,4.9,2024-10-30T15:42:52.805994
5,498,235,rating,2.8,2025-07-02T15:42:52.805994
6,165,163,view,,2025-07-22T15:42:52.805994
7,782,237,purchase,,2024-09-16T15:42:52.805994
8,819,389,add_to_cart,,2025-06-13T15:42:52.805994
9,105,376,wishlist,,2024-08-15T15:42:52.805994
10,643,198,add_to_cart,,2024-10-26T15:42:52.805994
11,981,366,view,,2024-09-01T15:42:52.805994
12,241,8,rating,2.9,2025-04-11T15:42:52.805994
13,141,120,view,,2025-06-06T15:42:52.805994
14,126,455,view,,2024-10-23T15:42:52.805994
15,245,326,view,,2024-11-15T15:42:52.805994
16,269,390,add_to_cart,,2025-06-15T15:42:52.805994
17,42,30,view,,2025-06-24T15:42:52.805994
18,624,422,view,,2025-02-28T15:42:52.805994
19,987,166,add_to_cart,,2025-06-29T15:42:52.805994
20,323,485,view,,2025-01-29T15:42:52.805994
21,260,419,view,,2025-06-29T15:42:52.805994
22,900,187,wishlist,,2024-12-13T15:42:52.805994
23,243,52,view,,2024-10-20T15:42:52.805994
24,219,342,view,,2025-01-30T15:42:52.805994
25,498,392,view,,2025-03-21T15:42:52.805994
26,59,306,view,,2025-04-21T15:42:52.805994
27,825,145,purchase,,2025-02-14T15:42:52.805994
28,222,454,add_to_cart,,2025-03-11T15:42:52.805994
29,349,465,view,,2024-09-09T15:42:52.805994
30,983,13,view,,2024-10-18T15:42:52.805994
31,776,233,wishlist,,2025-03-03T15:42:52.805994
32,67,90,view,,2025-05-24T15:42:52.805994
33,809,453,view,,2024-12-25T15:42:52.805994
34,797,236,purchase,4.3,2024-08-30T15:42:52.805994
35,762,54,view,,2024-11-07T15:42:52.805994
36,990,181,view,,2024-08-13T15:42:52.805994
37,181,476,wishlist,,2025-01-26T15:42:52.805994
38,885,332,view,,2024-09-22T15:42:52.805994
39,20,479,wishlist,,2024-12-07T15:42:52.805994
40,877,291,wishlist,,2025-07-10T15:42:52.805994
41,725,299,view,,2024-08-24T15:42:52.805994
42,103,407,view,,2024-10-19T15:42:52.805994
43,235,314,view,,2024-12-01T15:42:52.805994
44,837,194,view,,2024-09-30T15:42:52.805994
45,12,86,wishlist,,2024-11-09T15:42:52.805994
46,97,52,view,,2025-06-27T15:42:52.805994
47,710,112,view,,2024-08-23T15:42:52.805994
48,533,60,add_to_cart,,2025-03-28T15:42:52.805994
49,38,58,view,,2025-08-05T15:42:52.805994
50,930,22,view,,2024-09-19T15:42:52.805994
51,577,166,view,,2024-08-23T15:42:52.805994
52,621,252,wishlist,,2025-06-23T15:42:52.805994
53,459,41,purchase,4.0,2024-10-21T15:42:52.805994
54,618,111,view,,2025-06-14T15:42:52.805994
55,703,213,wishlist,,2025-01-20T15:42:52.805994
56,500,162,add_to_cart,,2025-04-20T15:42:52.805994
57,597,399,wishlist,,2025-07-02T15:42:52.805994
58,581,278,add_to_cart,,2025-06-13T15:42:52.805994
59,654,336,view,,2025-07-06T15:42:52.805994
60,524,496,view,,2025-05-10T15:42:52.805994
61,131,156,add_to_cart,,2024-09-19T15:42:52.805994
62,464,362,purchase,,2024-10-25T15:42:52.805994
63,401,437,view,,2024-12-18T15:42:52.805994
64,700,283,view,,2025-04-18T15:42:52.805994
65,745,411,add_to_cart,,2025-05-31T15:42:52.805994
66,778,449,view,,2025-03-30T15:42:52.805994
67,622,223,add_to_cart,,2024-10-27T15:42:52.805994
68,241,477,wishlist,,2024-09-03T15:42:52.805994
69,24,316,view,,2024-12-09T15:42:52.805994
70,895,8,wishlist,,2025-06-23T15:42:52.805994
71,699,266,view,,2025-07-22T15:42:52.805994
72,687,182,add_to_cart,,2024-08-31T15:42:52.805994
73,640,264,view,,2025-02-10T15:42:52.805994
74,497,367,wishlist,,2024-12-06T15:42:52.805994
